timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777642540751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642540951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642541152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642541353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642541554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642541756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642541957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642542157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642542357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642542558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642542759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642542959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642543160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642543362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642543563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642543764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642543965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642544165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642544366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642544566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642544767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642544967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642545167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642545368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642545569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642545769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642545970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642546170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642546370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642546570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642546771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642546972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642547174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642547374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642547574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642547774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642547975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642548175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
